fecha,dosis_total,dosis_1,dosis_2,dosis_3
2020-12-23,,,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-26,,,,
2020-12-27,,,,
2020-12-28,,,,
2020-12-29,,,,
2020-12-30,,,,
2020-12-31,,,,
2021-01-01,,,,
2021-01-02,,,,
2021-01-03,,,,
2021-01-04,,,,
2021-01-05,,,,
2021-01-06,,,,
2021-01-07,,,,
2021-01-08,,,,
2021-01-09,,,,
2021-01-10,,,,
2021-01-11,,,,
2021-01-12,,,,
2021-01-13,,,,
2021-01-14,,,,
2021-01-15,,,,
2021-01-16,,,,
2021-01-17,,,,
2021-01-18,,,,
2021-01-19,,,,
2021-01-20,,,,
2021-01-21,,,,
2021-01-22,,,,
2021-01-23,,,,
2021-01-24,,,,
2021-01-25,,,,
2021-01-26,,,,
2021-01-27,,,,
2021-01-28,,,,
2021-01-29,,,,
2021-01-30,,,,
2021-01-31,,,,
2021-02-01,,,,
2021-02-02,,,,
2021-02-03,,,,
2021-02-04,,,,
2021-02-05,,,,
2021-02-06,,,,
2021-02-07,,,,
2021-02-08,,,,
2021-02-09,,,,
2021-02-10,,,,
2021-02-11,,,,
2021-02-12,,,,
2021-02-13,,,,
2021-02-14,,,,
2021-02-15,0.0,0.0,,
2021-02-16,385.0,385.0,,
2021-02-17,1379.0,1379.0,,
2021-02-18,5328.0,5328.0,,
2021-02-19,10200.0,10200.0,,
2021-02-20,13087.0,13087.0,,
2021-02-21,14264.0,14264.0,,
2021-02-22,,,,
2021-02-23,,,,
2021-02-24,26400.0,26400.0,,
2021-02-25,,,,
2021-02-26,,,,
2021-02-27,,,,
2021-02-28,,,,
2021-03-01,60000.0,60000.0,,
2021-03-02,105000.0,105000.0,,
2021-03-03,161827.0,161827.0,,
2021-03-04,227719.0,227719.0,,
2021-03-05,303490.0,303490.0,,
2021-03-06,375265.0,375265.0,,
2021-03-07,,,,
2021-03-08,400041.0,400041.0,,
2021-03-09,480237.0,480237.0,,
2021-03-10,547091.0,547091.0,,
2021-03-11,606006.0,606006.0,,
2021-03-12,,,,
2021-03-13,,,,
2021-03-14,,,,
2021-03-15,675000.0,675000.0,,
2021-03-16,,,,
2021-03-17,,,,
2021-03-18,,,,
2021-03-19,,,,
2021-03-20,,,,
2021-03-21,,,,
2021-03-22,,,,
2021-03-23,800000.0,800000.0,,
2021-03-24,,,,
2021-03-25,,,,
2021-03-26,,,,
2021-03-27,,,,
2021-03-28,,,,
2021-03-29,,,,
2021-03-30,910869.0,856474.0,54395.0,0.0
2021-03-31,,,,
2021-04-01,,,,
2021-04-02,,,,
2021-04-03,,,,
2021-04-04,,,,
2021-04-05,,,,
2021-04-06,,,,
2021-04-07,,,,
2021-04-08,,,,
2021-04-09,,,,
2021-04-10,,,,
2021-04-11,,,,
2021-04-12,,,,
2021-04-13,,,,
2021-04-14,1509898.0,909898.0,600000.0,0.0
2021-04-15,,,,
2021-04-16,,,,
2021-04-17,,,,
2021-04-18,,,,
2021-04-19,,,,
2021-04-20,,,,
2021-04-21,,,,
2021-04-22,,,,
2021-04-23,,,,
2021-04-24,,,,
2021-04-25,1747878.0,993804.0,754074.0,0.0
2021-04-26,1797346.0,1029281.0,768065.0,0.0
2021-04-27,1847261.0,1067830.0,779431.0,0.0
2021-04-28,1893836.0,1106733.0,787103.0,0.0
2021-04-29,1935500.0,1143669.0,791831.0,0.0
2021-04-30,1970018.0,1174227.0,795791.0,0.0
2021-05-01,1982185.0,1185502.0,796683.0,0.0
2021-05-02,1989384.0,1192415.0,796969.0,0.0
2021-05-03,2052662.0,1251674.0,800988.0,0.0
2021-05-04,2123703.0,1319445.0,804258.0,0.0
2021-05-05,2197153.0,1389890.0,807263.0,0.0
2021-05-06,2264381.0,1456488.0,807893.0,0.0
2021-05-07,2325108.0,1515063.0,810045.0,0.0
2021-05-08,2345528.0,1535083.0,810445.0,0.0
2021-05-09,2354281.0,1543725.0,810556.0,0.0
2021-05-10,2483629.0,1671046.0,812583.0,0.0
2021-05-11,2640409.0,1825500.0,814909.0,0.0
2021-05-12,2801356.0,1984662.0,816694.0,0.0
2021-05-13,2941030.0,2122713.0,818317.0,0.0
2021-05-14,3071487.0,2251255.0,820232.0,0.0
2021-05-15,3105105.0,2284580.0,820525.0,0.0
2021-05-16,3119820.0,2299179.0,820641.0,0.0
2021-05-17,,,,
2021-05-18,3370726.0,2545132.0,825594.0,0.0
2021-05-19,3488131.0,2658818.0,829313.0,0.0
2021-05-20,3593646.0,2748532.0,845114.0,0.0
2021-05-21,3694329.0,2822348.0,871981.0,0.0
2021-05-22,3725377.0,2845928.0,879449.0,0.0
2021-05-23,3739010.0,2855808.0,883202.0,0.0
2021-05-24,3845766.0,2932987.0,912779.0,0.0
2021-05-25,3948015.0,3003678.0,944337.0,0.0
2021-05-26,4041312.0,3064800.0,976512.0,0.0
2021-05-27,4121584.0,3115252.0,1006332.0,0.0
2021-05-28,4188983.0,3155232.0,1033751.0,0.0
2021-05-29,4210215.0,3169176.0,1041039.0,0.0
2021-05-30,4214163.0,3171332.0,1042831.0,0.0
2021-05-31,4311374.0,3223950.0,1087424.0,0.0
2021-06-01,4456516.0,3313861.0,1142655.0,0.0
2021-06-02,4625387.0,3424187.0,1201200.0,0.0
2021-06-03,4761529.0,3530338.0,1231191.0,0.0
2021-06-04,4989807.0,3687044.0,1302763.0,0.0
2021-06-05,5115370.0,3784461.0,1330909.0,0.0
2021-06-06,5197199.0,3848889.0,1348310.0,0.0
2021-06-07,5417069.0,3971831.0,1445238.0,0.0
2021-06-08,5656548.0,4091884.0,1564664.0,0.0
2021-06-09,5900600.0,4212646.0,1687954.0,0.0
2021-06-10,6050983.0,4223427.0,1827556.0,0.0
2021-06-11,6173811.0,4227940.0,1945871.0,0.0
2021-06-12,6219867.0,4241798.0,1978069.0,0.0
2021-06-13,6251341.0,4258343.0,1992998.0,0.0
2021-06-14,6370569.0,4272574.0,2097995.0,0.0
2021-06-15,6473104.0,4286397.0,2186707.0,0.0
2021-06-16,6553710.0,4301394.0,2252316.0,0.0
2021-06-17,6675351.0,4344495.0,2330856.0,0.0
2021-06-18,6835074.0,4422388.0,2412686.0,0.0
2021-06-19,6943666.0,4491478.0,2452188.0,0.0
2021-06-20,7012445.0,4541739.0,2470706.0,0.0
2021-06-21,7172478.0,4625991.0,2546487.0,0.0
2021-06-22,7301587.0,4691111.0,2610476.0,0.0
2021-06-23,7402235.0,4746498.0,2655737.0,0.0
2021-06-24,7482545.0,4790322.0,2692223.0,0.0
2021-06-25,7545508.0,4826862.0,2718646.0,0.0
2021-06-26,7569805.0,4842540.0,2727265.0,0.0
2021-06-27,7583057.0,4851699.0,2731358.0,0.0
2021-06-28,7653536.0,4883358.0,2770178.0,0.0
2021-06-29,7746038.0,4918071.0,2827967.0,0.0
2021-06-30,7842179.0,4949582.0,2892597.0,0.0
2021-07-01,,,,
2021-07-02,8034708.0,5008715.0,3025993.0,0.0
2021-07-03,8077985.0,5019355.0,3058630.0,0.0
2021-07-04,8119502.0,5030094.0,3089408.0,0.0
2021-07-05,8253816.0,5061730.0,3192086.0,0.0
2021-07-06,8396449.0,5097374.0,3299075.0,0.0
2021-07-07,8572939.0,5131732.0,3403094.0,38113.0
2021-07-08,8688523.0,5165832.0,3469190.0,53501.0
2021-07-09,8783843.0,5198112.0,3515118.0,70613.0
2021-07-10,8833615.0,5217103.0,3536178.0,80334.0
2021-07-11,8859966.0,5226733.0,3547663.0,85570.0
2021-07-12,8924052.0,5246674.0,3574258.0,103120.0
2021-07-13,8998508.0,5271104.0,3604070.0,123334.0
2021-07-14,9066151.0,5294786.0,3629728.0,141637.0
2021-07-15,9132857.0,5316275.0,3657968.0,158614.0
2021-07-16,9201783.0,5336442.0,3692082.0,173259.0
2021-07-17,9246631.0,5346011.0,3713656.0,186964.0
2021-07-18,9263829.0,5350169.0,3723277.0,190383.0
2021-07-19,9356203.0,5369886.0,3780347.0,205970.0
2021-07-20,9449137.0,5390472.0,3836969.0,221696.0
2021-07-21,9546340.0,5411771.0,3893882.0,240687.0
2021-07-22,9637523.0,5432072.0,3944218.0,261233.0
2021-07-23,9715081.0,5450751.0,3984498.0,279832.0
2021-07-24,9741271.0,5458029.0,3996388.0,286854.0
2021-07-25,9746981.0,5459382.0,3999041.0,288558.0
2021-07-26,9815113.0,5473614.0,4036927.0,304572.0
2021-07-27,9904559.0,5491708.0,4088555.0,324296.0
2021-07-28,9992472.0,5508883.0,4139202.0,344387.0
2021-07-29,10060830.0,5524571.0,4174568.0,361691.0
2021-07-30,10119930.0,5538092.0,4205772.0,376066.0
2021-07-31,10140333.0,5543146.0,4215901.0,381286.0
2021-08-01,10148305.0,5545143.0,4219737.0,383425.0
2021-08-02,10206054.0,5558518.0,4250852.0,396684.0
2021-08-03,10266837.0,5572496.0,4282396.0,411945.0
2021-08-04,10326939.0,5586823.0,4312006.0,428110.0
2021-08-05,10381459.0,5600470.0,4337509.0,443480.0
2021-08-06,10426989.0,5612488.0,4358673.0,455828.0
2021-08-07,10444741.0,5617370.0,4366182.0,461189.0
2021-08-08,10452130.0,5619234.0,4369473.0,463423.0
2021-08-09,10500107.0,5631732.0,4391693.0,476682.0
2021-08-10,10554023.0,5645781.0,4417043.0,491199.0
2021-08-11,10581472.0,5652804.0,4429487.0,499181.0
2021-08-12,10601438.0,5657720.0,4438630.0,505088.0
2021-08-13,10638203.0,5667626.0,4455264.0,515313.0
2021-08-14,10652029.0,5671374.0,4461013.0,519642.0
2021-08-15,10656985.0,5672584.0,4462896.0,521505.0
2021-08-16,10658318.0,5672922.0,4463319.0,522077.0
2021-08-17,10697563.0,5683833.0,4480873.0,532857.0
2021-08-18,10743683.0,5696721.0,4501030.0,545932.0
2021-08-19,10789568.0,5709646.0,4520504.0,559418.0
2021-08-20,10825861.0,5719571.0,4534518.0,571772.0
2021-08-21,10841175.0,5723752.0,4540737.0,576686.0
2021-08-22,10847153.0,5725316.0,4543100.0,578737.0
2021-08-23,10888847.0,5737876.0,4559262.0,591709.0
